date,market_demand,ontario_demand,year,month,weekday,Day,temp_max,temp_max_flag,temp_min,temp_min_flag,temp_mean,temp_mean_flag,heat_deg_days,heat_deg_days_flag,cool_deg_days,cool_deg_days_flag,total_rain_mm,total_rain_mm_flag,total_snow_cm,total_snow_cm_flag,total_precip_mm,total_precip_mm_flag,snow_on_ground_cm,snow_on_ground_cm_flag,dir_of_max_gust_10sdeg,dir_of_max_gust_10sdeg_flag,spd_of_max_gust_kmh,spd_of_max_gust_kmh_flag,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,walking,transit
2015-01-01,451100.0,369939.0,2015.0,1.0,Thursday,1,-0.9,,-6.9,,-3.9,,21.9,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-02,457472.0,383063.0,2015.0,1.0,Friday,2,-0.5,,-4.0,,-2.3,,20.3,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-03,457828.0,394156.0,2015.0,1.0,Saturday,3,2.8,,-3.5,,-0.4,,18.4,,0.0,,,M,,M,12.3,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-04,447891.0,379686.0,2015.0,1.0,Sunday,4,5.1,,-4.7,,0.2,,17.8,,0.0,,,M,,M,10.8,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-05,497335.0,431984.0,2015.0,1.0,Monday,5,-4.6,,-12.5,,-8.6,,26.6,,0.0,,,M,,M,0.2,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-06,520724.0,444898.0,2015.0,1.0,Tuesday,6,-7.7,,-12.1,,-9.9,,27.9,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-07,535703.0,453511.0,2015.0,1.0,Wednesday,7,-8.4,,-17.6,,-13.0,,31.0,,0.0,,,M,,M,0.3,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-08,549466.0,458157.0,2015.0,1.0,Thursday,8,-7.7,,-14.8,,-11.3,,29.3,,0.0,,,M,,M,0.7,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-09,515321.0,436333.0,2015.0,1.0,Friday,9,-5.1,,-12.3,,-8.7,,26.7,,0.0,,,M,,M,0.9,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-10,493107.0,420032.0,2015.0,1.0,Saturday,10,-8.9,,-14.6,,-11.8,,29.8,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-11,467659.0,405604.0,2015.0,1.0,Sunday,11,0.5,,-9.0,,-4.3,,22.3,,0.0,,,M,,M,0.2,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-12,499475.0,429621.0,2015.0,1.0,Monday,12,0.2,,-15.4,,-7.6,,25.6,,0.0,,,M,,M,1.7,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-13,517114.0,455779.0,2015.0,1.0,Tuesday,13,-10.4,,-19.5,,-15.0,,33.0,,0.0,,,M,,M,0.2,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-14,508087.0,453559.0,2015.0,1.0,Wednesday,14,-3.5,,-11.6,,-7.6,,25.6,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
2015-01-15,515898.0,442751.0,2015.0,1.0,Thursday,15,-2.1,,-10.8,,-6.5,,24.5,,0.0,,,M,,M,0.0,,,,,M,,M,,,,,,,,,,,,,,,,
